No Sugar Added Candies - Candies - Candies | CHERRY CANDIES, NO SUGAR ADDED | CA$15.99
Chocolates | GREEK YOGURT ALMONDS | CA$11.99
Chocolates | CHOCOLATE BRAZIL NUTS, MILK CHOCOLATE COVERED | CA$44.99
Baking Nuts - Baking | DICED ALMONDS | CA$11.99
Corn Snacks - Snacks & Mixes | POPPING CORN | CA$4.99
Seeds and Health Food in Bulk | SESAME STICKS, SALTED | CA$10.49
Seeds and Health Food in Bulk | CHIA SEEDS POWDER | CA$11.49
Seeds and Health Food in Bulk | ORGANIC SUNFLOWER SEEDS, RAW, SHELLED | CA$7.99
Seeds and Health Food in Bulk | ORGANIC EUROPEAN SUNFLOWER SEEDS, RAW, SHELLED | CA$7.49
Sesame Seeds - Grains & Seeds | SESAME STICKS, SALTED | CA$10.49
Buckwheat - Grains & Seeds | ORGANIC WHOLE BUCKWHEAT FLOUR, GLUTEN-FREE | CA$10.99
Confetti - Candies | YELLOW CONFETTI | CA$14.99
Watermelon Kernels - Grains & Seeds | ORGANIC WATERMELON KERNELS | CA$19.99
Beans and Lentils - Cooking | ORGANIC BLACK TURTLE BEANS | CA$6.49
Wasabi Snacks - Snacks & Mixes | WASABI PEAS | CA$12.49
Organic Dried Fruits - Organic | ORGANIC DESICCATED COCONUT, FINE | CA$7.99
Organic Dried Fruits - Organic | ORGANIC GOLDEN BERRIES | CA$28.99
Buy 100% Organic Products Online | ORGANIC CACAO NIBS, RAW | CA$18.49
Buy 100% Organic Products Online | ORGANIC TRAILBLAZER MIX | CA$16.49
Buy 100% Organic Products Online | ORGANIC THOMPSON RAISINS | CA$9.49
Buy 100% Organic Products Online | ORGANIC BARLEY FLAKES | CA$5.49
Buy 100% Organic Products Online | ORGANIC OAT FLOUR, GLUTEN-FREE, FINE GRIND | CA$17.49
Organic Rice - Organic | ORGANIC BROWN LONG GRAIN RICE, LONG GRAIN | CA$5.49
Salad Toppings - Cooking | CRANBERRY & NUT SALAD TOPPER | CA$16.49
Beans Snacks - Snacks & Mixes | BROAD BEANS BBQ, ROASTED, SALTED | CA$10.49
Toppings - Candies - Candies | ORG. 70% DARK CHOCOLATE CHIA SEEDS | CA$26.49
Shop Almonds, Organic Almonds, Roasted & More at Yupik | PISTACHIO KERNELS, RAW | CA$28.99
Buy your Organic Superfoods easily online | ORGANIC CACAO NIBS, RAW | CA$18.49
Buy your Organic Superfoods easily online | CHLORELLA POWDER | CA$25.99
